session_key,driver_number,lap_number,duration
9472,27,1,36.6
9472,24,9,25.2
9472,18,9,24.4
9472,31,10,24.8
9472,2,10,35.7
9472,63,11,24.7
9472,16,11,24.0
9472,20,11,25.9
9472,11,12,24.5
9472,81,12,25.4
9472,44,12,25.0
9472,10,12,29.9
9472,77,12,26.4
9472,4,13,24.2
9472,3,13,24.9
9472,55,14,24.4
9472,22,14,24.7
9472,14,15,24.7
9472,23,15,24.6
9472,1,17,25.0
9472,27,20,24.7
9472,18,27,24.5
9472,24,28,25.0
9472,2,28,25.0
9472,31,30,25.1
9472,63,31,24.8
9472,77,30,74.7
9472,10,31,26.4
9472,20,32,24.4
9472,4,33,24.7
9472,44,33,24.0
9472,16,34,24.1
9472,81,34,24.8
9472,22,34,24.3
9472,55,35,23.8
9472,3,35,24.8
9472,11,36,24.5
9472,23,36,24.6
9472,1,37,24.2
9472,14,41,25.1
9472,2,40,25.3
9472,27,41,24.3
9472,10,43,25.2
9480,1,7,20.6
9480,11,7,22.1
9480,16,7,23.4
9480,81,7,21.4
9480,14,7,22.1
9480,63,7,21.0
9480,22,7,21.6
9480,38,7,22.4
9480,20,7,21.4
9480,23,7,21.7
9480,31,7,22.5
9480,77,7,22.7
9480,2,7,23.6
9480,3,7,63.3
9480,27,33,21.0
9480,77,35,23.2
9480,44,36,20.1
9480,4,37,22.2
9480,24,41,46.3
9488,3,5,18.2
9488,23,6,17.7
9488,24,6,19.0
9488,44,7,17.5
9488,20,7,18.3
9488,63,8,18.0
9488,18,8,17.9
9488,77,8,46.9
9488,16,9,17.4
9488,81,9,17.5
9488,22,9,18.5
9488,31,9,18.2
9488,4,14,17.7
9488,11,14,18.1
9488,55,16,17.5
9488,31,16,30.6
9488,14,17,18.1
9488,27,17,18.3
9488,10,17,20.3
9488,23,27,17.7
9488,3,29,17.7
9488,20,33,18.1
9488,16,34,17.3
9488,11,35,17.2
9488,27,35,18.1
9488,24,35,36.8
9488,22,36,17.5
9488,77,36,18.9
9488,18,37,17.9
9488,81,39,18.5
9488,4,40,17.6
9488,55,41,17.7
9488,14,41,17.9
9488,10,41,17.6
9488,31,42,18.0
9488,63,45,17.9
9496,1,1,1575.6
9496,11,1,1577.6
9496,4,1,1580.1
9496,55,1,1580.0
9496,14,1,1580.9
9496,81,1,1580.2
9496,44,1,1580.6
9496,16,1,1583.3
9496,63,1,1581.2
9496,27,1,1580.8
9496,77,1,1582.5
9496,22,1,1584.5
9496,31,1,1586.0
9496,10,1,1586.7
9496,18,1,1585.9
9496,20,1,1584.6
9496,2,1,1585.2
9496,24,1,1582.9
9496,27,5,23.6
9496,77,6,24.8
9496,22,7,23.3
9496,24,7,23.9
9496,4,11,23.0
9496,24,11,26.6
9496,81,12,23.4
9496,18,12,23.3
9496,14,13,22.9
9496,11,15,22.9
9496,55,15,23.1
9496,1,16,23.1
9496,10,16,23.8
9496,31,19,23.3
9496,63,22,23.5
9496,22,22,23.4
9496,20,22,26.1
9496,18,22,23.2
9496,77,22,25.9
9496,2,22,25.5
9496,44,23,23.3
9496,16,26,23.2
9496,4,26,23.2
9496,81,32,22.8
9496,10,32,23.1
9496,11,33,22.9
9496,14,33,23.1
9496,27,33,23.9
9496,31,33,24.1
9496,1,34,23.2
9496,18,34,22.9
9496,2,34,24.2
9496,55,36,23.5
9496,63,37,22.9
9496,44,39,23.9
9496,2,41,23.2
9673,27,8,23.0
9673,22,8,23.1
9673,24,8,23.3
9673,18,9,23.8
9673,77,9,22.9
9673,31,9,23.1
9673,23,9,23.2
9673,44,9,22.5
9673,14,11,23.0
9673,63,11,22.4
9673,10,11,39.7
9673,2,12,23.2
9673,1,13,22.4
9673,11,13,22.0
9673,3,14,22.5
9673,81,16,22.6
9673,55,17,22.6
9673,20,17,22.9
9673,16,21,22.3
9673,18,21,22.9
9673,44,21,22.6
9673,4,22,22.1
9673,1,23,22.2
9673,11,23,22.3
9673,14,23,22.6
9673,63,23,22.7
9673,27,23,23.3
9673,31,23,23.2
9673,22,23,22.3
9673,23,23,23.6
9673,24,23,25.6
9673,10,23,23.9
9673,81,24,22.2
9673,2,24,22.6
9673,18,26,93.2
9673,20,27,25.7
9673,18,35,34.7
9673,10,38,22.8
9673,24,40,23.2
9673,14,43,23.1
9507,23,10,22.8
9507,18,11,23.0
9507,2,11,22.6
9507,77,11,23.7
9507,27,12,23.0
9507,10,12,22.4
9507,11,17,21.6
9507,16,19,21.8
9507,31,22,22.6
9507,14,22,22.3
9507,20,22,23.2
9507,1,23,22.1
9507,63,24,22.8
9507,44,26,22.1
9507,81,27,22.2
9507,55,27,22.8
9507,11,28,22.3
9507,22,28,22.1
9507,24,28,23.0
9507,3,28,22.5
9507,27,28,22.4
9507,18,28,22.6
9507,20,28,29.7
9507,4,29,22.0
9507,77,29,22.7
9507,20,31,30.7
9507,81,40,30.4
9507,23,53,22.5
9515,14,7,31.3
9515,23,8,30.0
9515,10,8,30.0
9515,77,8,30.2
9515,23,9,33.1
9515,3,11,30.0
9515,22,12,29.6
9515,27,13,29.7
9515,63,21,29.6
9515,4,22,29.9
9515,81,23,29.7
9515,1,24,30.4
9515,23,23,38.4
9515,16,25,30.1
9515,31,25,30.6
9515,55,27,30.5
9515,44,27,29.5
9515,23,28,31.1
9515,10,30,30.6
9515,2,31,31.0
9515,24,33,30.2
9515,11,37,29.6
9515,18,37,29.9
9515,20,37,31.3
9515,14,40,30.4
9515,63,52,29.6
9515,14,59,29.9
9523,16,1,2358.0
9523,81,1,2357.6
9523,55,1,2327.0
9523,4,1,2365.5
9523,63,1,2369.3
9523,1,1,2372.6
9523,44,1,2375.3
9523,22,1,2377.5
9523,23,1,2381.3
9523,10,1,2381.8
9523,18,1,2383.5
9523,3,1,2385.8
9523,14,1,2389.4
9523,2,1,2391.6
9523,77,1,2394.0
9523,24,1,2386.4
9523,77,15,24.2
9523,18,42,24.1
9523,18,48,28.2
9523,44,51,24.2
9523,1,52,23.8
9523,2,57,24.3
9523,24,70,24.3
9531,20,7,30.4
9531,27,12,24.2
9531,24,24,25.5
9531,1,25,24.3
9531,63,25,24.0
9531,81,25,23.9
9531,44,25,23.7
9531,14,25,25.7
9531,18,25,24.2
9531,23,25,24.7
9531,16,25,24.0
9531,55,25,27.6
9531,20,25,26.7
9531,10,25,24.9
9531,11,25,33.7
9531,27,25,24.6
9531,4,26,23.4
9531,3,26,30.2
9531,16,28,47.1
9531,16,31,24.6
9531,10,40,24.4
9531,20,41,24.8
9531,77,42,24.9
9531,44,43,24.2
9531,3,43,23.8
9531,55,43,24.1
9531,11,43,24.4
9531,81,44,23.4
9531,14,44,24.3
9531,22,44,25.5
9531,18,44,25.0
9531,31,44,24.4
9531,23,44,24.8
9531,27,44,24.7
9531,1,45,24.2
9531,63,45,25.4
9531,24,44,65.5
9531,4,47,23.9
9531,24,52,28.3
9531,63,54,28.1
9531,44,54,28.8
9531,20,54,26.8
9539,24,9,22.5
9539,22,9,22.0
9539,20,10,23.3
9539,77,11,22.7
9539,27,12,22.7
9539,31,13,21.8
9539,11,13,22.1
9539,10,14,26.0
9539,2,14,22.4
9539,63,15,25.0
9539,55,15,22.1
9539,44,16,21.8
9539,3,16,22.3
9539,1,17,21.5
9539,18,17,21.8
9539,23,18,23.2
9539,14,19,21.9
9539,81,21,22.2
9539,4,23,21.6
9539,16,24,22.2
9539,22,27,22.0
9539,77,28,22.9
9539,20,29,28.9
9539,11,31,21.4
9539,2,34,22.5
9539,63,36,22.7
9539,55,36,22.2
9539,31,37,21.9
9539,18,37,23.3
9539,10,38,21.6
9539,27,38,22.5
9539,24,41,24.2
9539,3,42,22.1
9539,44,43,21.6
9539,1,44,22.3
9539,23,43,21.8
9539,22,44,22.5
9539,14,45,22.5
9539,81,46,22.4
9539,4,47,22.6
9539,16,47,21.6
9539,11,49,21.4
9550,16,1,31.9
9550,2,1,31.7
9550,20,10,21.5
9550,3,10,21.5
9550,27,11,22.3
9550,14,11,21.4
9550,23,12,21.8
9550,16,16,21.6
9550,31,19,22.2
9550,77,19,21.9
9550,10,20,21.4
9550,18,20,21.3
9550,2,20,22.5
9550,44,21,21.5
9550,11,21,21.2
9550,22,21,21.2
9550,63,22,21.6
9550,55,22,21.2
9550,1,23,21.8
9550,4,23,21.6
9550,81,25,20.9
9550,24,28,23.1
9550,16,33,22.2
9550,14,35,33.9
9550,3,37,21.0
9550,20,38,21.8
9550,27,39,21.8
9550,23,39,21.6
9550,10,42,22.0
9550,77,42,21.9
9550,31,43,21.2
9550,18,43,21.3
9550,22,44,23.4
9550,63,46,21.2
9550,55,47,21.2
9550,2,49,22.0
9550,1,51,25.8
9550,4,51,21.4
9550,81,51,20.7
9550,11,51,27.5
9550,16,51,20.9
9550,24,51,21.5
9550,44,53,27.2
9550,1,64,22.7
9550,14,68,22.4
9558,24,12,29.1
9558,16,19,28.4
9558,11,19,28.3
9558,31,19,28.4
9558,24,19,29.8
9558,31,21,28.2
9558,1,26,28.3
9558,55,26,29.1
9558,27,26,29.4
9558,18,26,29.0
9558,3,26,28.8
9558,77,26,30.6
9558,4,27,28.6
9558,44,27,28.9
9558,63,27,32.0
9558,14,27,29.3
9558,22,27,30.0
9558,31,26,29.2
9558,23,27,34.7
9558,20,27,30.3
9558,2,27,32.8
9558,24,26,29.1
9558,81,28,29.5
9558,16,27,29.2
9558,11,28,32.3
9558,20,37,29.8
9558,3,37,29.8
9558,77,37,31.5
9558,44,38,30.0
9558,1,38,29.0
9558,81,38,29.2
9558,16,37,29.1
9558,11,37,29.3
9558,14,38,29.6
9558,22,38,29.6
9558,23,38,29.4
9558,2,38,29.4
9558,4,39,30.3
9558,24,37,33.0
9558,55,39,29.0
9558,27,39,30.2
9558,18,39,29.4
9558,31,38,29.0
9558,11,47,28.8
9558,55,50,28.7
9566,27,2,22.2
9566,23,6,22.0
9566,20,6,21.8
9566,31,6,21.8
9566,14,7,22.5
9566,3,7,21.0
9566,24,7,21.9
9566,2,8,21.7
9566,18,14,23.2
9566,44,16,21.3
9566,77,16,22.1
9566,4,17,21.8
9566,81,18,21.6
9566,1,21,22.1
9566,55,21,21.6
9566,16,23,21.8
9566,11,28,21.3
9566,10,28,21.4
9566,3,28,21.3
9566,22,29,21.4
9566,27,29,22.4
9566,23,29,23.4
9566,31,30,21.4
9566,63,33,21.3
9566,2,33,21.3
9566,20,34,22.5
9566,24,36,22.1
9566,14,37,21.8
9566,44,40,21.9
9566,16,40,21.7
9566,4,45,21.2
9566,18,45,22.2
9566,77,45,21.9
9566,81,47,21.8
9566,55,47,21.4
9566,11,47,21.0
9566,1,49,21.3
9566,63,53,21.3
9566,2,63,21.9
9566,31,64,21.3
9574,27,7,23.5
9574,23,8,23.6
9574,3,8,22.6
9574,2,8,23.3
9574,10,9,22.9
9574,63,10,22.6
9574,1,10,23.2
9574,44,11,23.1
9574,11,11,22.6
9574,81,11,22.6
9574,77,11,23.1
9574,16,12,22.9
9574,31,12,23.3
9574,18,12,23.0
9574,14,13,23.0
9574,4,15,22.6
9574,22,15,23.4
9574,20,17,23.6
9574,55,20,23.0
9574,27,20,23.2
9574,11,21,22.6
9574,3,21,22.3
9574,23,23,23.1
9574,2,24,23.6
9574,16,25,23.3
9574,44,26,22.7
9574,1,28,22.9
9574,55,28,23.0
9574,10,28,22.8
9574,4,29,22.6
9574,81,30,24.1
9574,31,30,23.5
9574,77,35,22.9
9574,11,42,22.6
9582,23,12,21.2
9582,27,14,21.6
9582,22,14,21.2
9582,77,15,21.0
9582,24,18,21.2
9582,2,22,22.0
9582,44,23,21.1
9582,16,24,20.8
9582,63,25,21.8
9582,1,27,20.7
9582,4,28,21.5
9582,11,29,22.9
9582,3,29,20.9
9582,55,30,20.8
9582,18,30,21.3
9582,31,30,21.0
9582,14,31,21.3
9582,10,32,22.6
9582,22,32,20.8
9582,81,33,20.9
9582,20,40,21.4
9582,77,43,21.2
9582,44,48,21.0
9582,24,51,22.0
9582,63,54,21.1
9582,23,54,21.0
9590,27,5,38.8
9590,10,10,24.3
9590,63,11,32.6
9590,3,11,30.3
9590,14,12,24.8
9590,4,14,24.1
9590,20,14,25.6
9590,16,15,24.5
9590,44,15,24.4
9590,24,15,27.1
9590,81,16,23.7
9590,43,16,25.1
9590,23,17,24.8
9590,55,19,24.3
9590,18,19,24.9
9590,1,22,28.1
9590,11,23,24.7
9590,10,30,24.2
9590,31,31,24.1
9590,4,32,24.8
9590,27,32,36.5
9590,63,33,26.2
9590,77,33,24.4
9590,11,35,24.0
9590,14,35,24.5
9590,18,36,24.2
9590,44,37,24.1
9590,81,38,24.6
9590,1,41,24.1
9590,18,50,25.2
9598,18,1,21.1
9598,43,10,20.5
9598,14,11,20.0
9598,77,11,20.0
9598,1,12,21.1
9598,63,12,19.9
9598,44,12,21.2
9598,22,12,20.9
9598,11,13,20.6
9598,50,14,21.2
9598,81,15,20.1
9598,27,15,21.6
9598,16,16,20.6
9598,55,17,21.4
9598,18,22,20.2
9598,23,31,20.2
9598,24,34,20.5
9598,4,37,19.7
9598,1,49,20.7
9598,3,49,21.9
9598,31,49,20.6
9598,10,50,20.2
9606,3,10,30.3
9606,23,11,29.1
9606,55,13,29.3
9606,44,17,29.2
9606,14,25,29.2
9606,18,26,29.8
9606,63,27,28.7
9606,11,28,28.9
9606,20,28,29.7
9606,1,29,29.6
9606,27,29,29.8
9606,43,29,29.7
9606,31,29,29.6
9606,4,30,29.0
9606,22,33,29.6
9606,77,33,30.4
9606,24,34,29.3
9606,16,36,29.0
9606,10,37,31.5
9606,81,38,29.1
9606,3,46,29.0
9606,20,49,31.2
9606,3,58,29.6
9617,23,3,34.983
9617,24,13,24.433
9617,77,15,24.439
9617,20,17,23.966
9617,10,18,28.228
9617,22,18,24.193
9617,55,21,23.963
9617,1,25,24.228
9617,16,26,23.817
9617,11,26,23.58
9617,14,26,24.247
9617,27,27,24.5
9617,18,27,26.399
9617,4,31,23.731
9617,31,31,24.156
9617,81,32,24.107
9617,23,33,24.391
9617,24,35,24.89
