session_key,driver_number,lap_number,duration
9693,4,2,13.3
9693,1,2,13.4
9693,81,2,13.0
9693,63,2,13.6
9693,16,2,14.1
9693,22,2,14.9
9693,23,2,15.0
9693,44,2,15.0
9693,10,2,15.1
9693,14,2,15.5
9693,18,2,15.5
9693,27,2,15.1
9693,12,2,14.6
9693,5,2,14.4
9693,31,2,14.3
9693,30,2,14.7
9693,87,2,14.6
9693,4,3,12.9
9693,1,3,13.7
9693,81,3,13.8
9693,63,3,14.1
9693,16,3,14.6
9693,22,3,15.2
9693,23,3,16.9
9693,44,3,16.1
9693,10,3,15.7
9693,14,3,16.2
9693,18,3,16.0
9693,27,3,15.9
9693,12,3,16.3
9693,5,3,16.3
9693,31,3,16.4
9693,30,3,16.3
9693,87,3,16.3
9693,4,4,12.8
9693,1,4,12.9
9693,81,4,12.8
9693,63,4,13.6
9693,16,4,14.1
9693,22,4,13.6
9693,23,4,14.2
9693,44,4,14.7
9693,10,4,14.7
9693,14,4,15.0
9693,18,4,14.4
9693,27,4,14.1
9693,12,4,13.9
9693,5,4,14.2
9693,31,4,19.649
9693,30,4,18.88
9693,87,4,22.494
9693,22,33,18.997
9693,23,33,18.573
9693,44,33,18.526
9693,10,33,19.589
9693,12,33,18.912
9693,18,33,18.802
9693,27,33,21.123
9693,4,34,18.464
9693,5,33,24.073
9693,81,34,19.719
9693,30,33,20.067
9693,1,34,18.7
9693,63,34,19.125
9693,16,34,18.154
9693,31,39,18.778
9693,87,39,22.441
9693,4,44,18.031
9693,63,44,19.378
9693,23,44,18.952
9693,18,44,18.901
9693,12,44,21.946
9693,27,44,20.209
9693,5,44,26.214
9693,81,44,19.85
9693,87,44,19.37
9693,1,46,18.721
9693,10,46,19.482
9693,31,46,19.858
9693,44,47,20.802
9693,16,47,24.528
9693,22,47,19.312
9998,5,1,23.385
9998,10,10,23.138
9998,22,11,22.519
9998,31,11,23.114
9998,7,11,22.793
9998,12,12,22.675
9998,6,12,22.896
9998,44,13,22.388
9998,1,13,22.454
9998,81,14,23.938
9998,63,14,22.324
9998,4,15,22.213
9998,16,15,22.1
9998,55,17,22.721
9998,30,18,22.536
9998,23,20,23.362
9998,27,20,22.959
9998,87,26,22.808
9998,5,26,22.79
9998,30,30,22.355
9998,6,33,22.234
9998,22,35,22.583
9998,18,36,22.995
9998,44,37,22.364
9998,22,46,38.102
10006,18,9,23.724
10006,7,15,23.382
10006,63,19,23.184
10006,81,20,23.037
10006,1,21,24.397
10006,4,21,23.222
10006,16,21,23.346
10006,27,22,23.515
10006,87,23,24.834
10006,22,23,24.181
10006,23,24,23.093
10006,14,24,25.708
10006,10,24,26.041
10006,6,25,23.333
10006,44,30,22.937
10006,18,30,23.608
10006,12,31,24.38
10006,5,31,23.419
10006,31,32,24.464
10006,30,33,23.662
