session_key,driver_number,position
9693,4,1
9693,1,2
9693,63,3
9693,12,4
9693,23,5
9693,18,6
9693,27,7
9693,16,8
9693,81,9
9693,44,10
9693,10,11
9693,22,12
9693,31,13
9693,87,14
9998,81,1
9998,4,2
9998,63,3
9998,1,4
9998,31,5
9998,12,6
9998,23,7
9998,87,8
9998,18,9
9998,55,10
9998,6,11
9998,30,12
9998,7,13
9998,5,14
9998,27,15
9998,22,16
10006,1,1
10006,4,2
10006,81,3
10006,16,4
10006,63,5
10006,12,6
10006,44,7
10006,6,8
10006,23,9
10006,87,10
10006,14,11
10006,22,12
10006,10,13
10006,55,14
10006,7,15
10006,27,16
10006,30,17
10006,31,18
10006,5,19
10006,18,20
10014,81,1
10014,63,2
10014,4,3
10014,16,4
10014,44,5
10014,1,6
10014,10,7
10014,31,8
10014,22,9
10014,87,10
10014,12,11
10014,23,12
10014,6,13
10014,7,14
10014,14,15
10014,30,16
10014,18,17
10014,5,18
10022,81,1
10022,1,2
10022,16,3
10022,4,4
10022,63,5
10022,12,6
10022,44,7
10022,55,8
10022,23,9
10022,6,10
10022,14,11
10022,30,12
10022,87,13
10022,31,14
10022,27,15
10022,18,16
10022,7,17
10022,5,18
10033,81,1
10033,4,2
10033,63,3
10033,1,4
10033,23,5
10033,12,6
10033,16,7
10033,44,8
10033,55,9
10033,22,10
10033,6,11
10033,31,12
10033,10,13
10033,27,14
10033,14,15
10033,18,16
9987,1,1
9987,4,2
9987,81,3
9987,44,4
9987,23,5
9987,16,6
9987,63,7
9987,55,8
9987,6,9
9987,22,10
9987,14,11
9987,27,12
9987,10,13
9987,30,14
9987,18,15
9987,43,16
9987,87,17
9987,5,18
9979,4,1
9979,16,2
9979,81,3
9979,1,4
9979,44,5
9979,6,6
9979,31,7
9979,30,8
9979,23,9
9979,55,10
9979,63,11
9979,87,12
9979,43,13
9979,5,14
9979,18,15
9979,27,16
9979,22,17
9979,12,18
9971,81,1
9971,4,2
9971,16,3
9971,63,4
9971,27,5
9971,44,6
9971,6,7
9971,10,8
9971,14,9
9971,1,10
9971,30,11
9971,5,12
9971,22,13
9971,55,14
9971,43,15
9971,31,16
9971,87,17
9963,63,1
9963,1,2
9963,12,3
9963,81,4
9963,16,5
9963,44,6
9963,14,7
9963,27,8
9963,31,9
9963,55,10
9963,87,11
9963,22,12
9963,43,13
9963,5,14
9963,10,15
9963,6,16
9963,18,17
9963,4,18
9955,4,1
9955,81,2
9955,16,3
9955,44,4
9955,63,5
9955,30,6
9955,14,7
9955,5,8
9955,27,9
9955,31,10
9955,87,11
9955,6,12
9955,10,13
9955,18,14
9955,43,15
9955,22,16
9947,4,1
9947,81,2
9947,27,3
9947,44,4
9947,1,5
9947,10,6
9947,18,7
9947,23,8
9947,14,9
9947,63,10
9947,87,11
9947,55,12
9947,31,13
9947,16,14
9947,22,15
9939,81,1
9939,4,2
9939,16,3
9939,1,4
9939,63,5
9939,23,6
9939,44,7
9939,30,8
9939,5,9
9939,10,10
9939,87,11
9939,27,12
9939,22,13
9939,18,14
9939,31,15
9939,12,16
9939,14,17
9939,55,18
9939,43,19
9939,6,20
9928,4,1
9928,81,2
9928,63,3
9928,16,4
9928,14,5
9928,5,6
9928,18,7
9928,30,8
9928,1,9
9928,12,10
9928,6,11
9928,44,12
9928,27,13
9928,55,14
9928,23,15
9928,31,16
9928,22,17
9928,43,18
9928,10,19
9920,81,1
9920,1,2
9920,6,3
9920,63,4
9920,23,5
9920,87,6
9920,18,7
9920,14,8
9920,22,9
9920,31,10
9920,43,11
9920,30,12
9920,55,13
9920,27,14
9920,5,15
9920,12,16
9920,10,17
9920,4,18
9912,1,1
9912,4,2
9912,81,3
9912,16,4
9912,63,5
9912,44,6
9912,23,7
9912,5,8
9912,12,9
9912,6,10
9912,55,11
9912,87,12
9912,22,13
9912,30,14
9912,31,15
9912,10,16
9912,43,17
9912,18,18
9904,1,1
9904,63,2
9904,55,3
9904,12,4
9904,30,5
9904,22,6
9904,4,7
9904,44,8
9904,16,9
9904,6,10
9904,5,11
9904,87,12
9904,23,13
9904,31,14
9904,14,15
9904,27,16
9904,18,17
9904,10,18
9904,43,19
9896,63,1
9896,1,2
9896,4,3
9896,81,4
9896,12,5
9896,16,6
9896,14,7
9896,44,8
9896,87,9
9896,55,10
9896,6,11
9896,22,12
9896,18,13
9896,23,14
9896,30,15
9896,43,16
9896,5,17
9896,31,18
9896,10,19
9896,27,20
9888,1,1
9888,4,2
9888,16,3
9888,44,4
9888,81,5
9888,63,6
9888,22,7
9888,27,8
9888,87,9
9888,14,10
9888,30,11
9888,18,12
9888,12,13
9888,23,14
9888,31,15
9888,6,16
